epoch, grover, wiki, reviews
-1, 0.49625, 0.501875, 0.51125
0, 0.49625, 0.501875, 0.51125
1, 0.496875, 0.5009375, 0.5121875
2, 0.4971875, 0.5003125, 0.5128125
3, 0.4971875, 0.498125, 0.5146875
4, 0.4978125, 0.4978125, 0.515625
5, 0.50125, 0.4965625, 0.515625
6, 0.5009375, 0.4946875, 0.51375
7, 0.5015625, 0.4934375, 0.51625
8, 0.501875, 0.4959375, 0.5196875
9, 0.5021875, 0.4959375, 0.5215625
TEST SET, 0.506, 0.50325, 0.51775
