epoch, grover, wiki, reviews
-1, 0.4921875, 0.493125, 0.505625
0, 0.4921875, 0.493125, 0.505625
1, 0.4821875, 0.5075, 0.513125
2, 0.494375, 0.5534375, 0.530625
3, 0.505625, 0.633125, 0.5503125
4, 0.51625, 0.826875, 0.5671875
5, 0.53125, 0.908125, 0.59
6, 0.554375, 0.9403125, 0.585
7, 0.5665625, 0.9525, 0.56875
8, 0.5740625, 0.9578125, 0.5515625
9, 0.5875, 0.966875, 0.545625
TEST SET, 0.587, 0.9645, 0.5345
