epoch, grover, wiki, reviews
-1, 0.4984375, 0.51125, 0.52375
0, 0.4984375, 0.51125, 0.52375
1, 0.5021875, 0.5121875, 0.525625
2, 0.5025, 0.5140625, 0.526875
3, 0.5040625, 0.51625, 0.53125
4, 0.49625, 0.520625, 0.5353125
5, 0.49125, 0.5271875, 0.5446875
6, 0.4925, 0.531875, 0.555
7, 0.4984375, 0.5371875, 0.569375
8, 0.499375, 0.5440625, 0.5825
9, 0.5025, 0.55, 0.5890625
TEST SET, 0.518, 0.54425, 0.58025
