epoch, grover, wiki, reviews
-1, 0.5159375, 0.4928125, 0.5125
0, 0.5159375, 0.4928125, 0.5125
1, 0.515625, 0.4928125, 0.5134375
2, 0.514375, 0.4946875, 0.5146875
3, 0.5146875, 0.4925, 0.5196875
4, 0.5121875, 0.4903125, 0.5196875
5, 0.5159375, 0.490625, 0.524375
6, 0.5153125, 0.4903125, 0.5290625
7, 0.5190625, 0.4915625, 0.5371875
8, 0.519375, 0.4921875, 0.5409375
9, 0.520625, 0.4921875, 0.545625
TEST SET, 0.51175, 0.481, 0.5635
