epoch, grover, wiki, reviews
-1, 0.516875, 0.504375, 0.5096875
0, 0.516875, 0.504375, 0.5096875
1, 0.5009375, 0.513125, 0.5528125
2, 0.500625, 0.5109375, 0.618125
3, 0.5, 0.5015625, 0.673125
4, 0.5, 0.5003125, 0.715
5, 0.5, 0.5003125, 0.7709375
6, 0.5, 0.5015625, 0.8528125
7, 0.5, 0.515, 0.9
8, 0.5, 0.524375, 0.921875
9, 0.500625, 0.5425, 0.9290625
TEST SET, 0.50125, 0.54225, 0.92525
