epoch, grover, wiki, reviews
-1, 0.518125, 0.5015625, 0.514375
0, 0.518125, 0.5015625, 0.514375
1, 0.506875, 0.526875, 0.535
2, 0.504375, 0.5546875, 0.576875
3, 0.5028125, 0.5690625, 0.6309375
4, 0.5003125, 0.7640625, 0.690625
5, 0.5040625, 0.919375, 0.7228125
6, 0.5028125, 0.9478125, 0.7784375
7, 0.501875, 0.9603125, 0.81875
8, 0.501875, 0.96375, 0.85375
9, 0.5015625, 0.96625, 0.8759375
TEST SET, 0.5005, 0.96625, 0.8725
